0,22.412109
NaN,20.361328
NaN,18.798828
NaN,6.591797
NaN,16.357422
NaN,2.832031
NaN,43.945313
NaN,23.095703
NaN,9.765625
NaN,7.226563
NaN,13.476563
NaN,9.326172
NaN,5.517578
NaN,6.982422
NaN,7.03125
NaN,6.787109
NaN,3.613281
NaN,10.644531
NaN,4.736328
NaN,10.009766
NaN,8.056641
NaN,3.076172
NaN,3.076172
NaN,11.523438
NaN,5.908203
NaN,15.527344
NaN,2.783203
NaN,6.640625
NaN,5.224609
NaN,7.177734
NaN,3.564453
NaN,6.542969
NaN,5.078125
NaN,15.722656
NaN,8.251953
NaN,7.421875
NaN,4.980469
NaN,8.300781
NaN,4.589844
NaN,12.304688
NaN,0.146484
NaN,6.054688
NaN,4.980469
NaN,15.136719
NaN,2.490234
NaN,11.328125
NaN,11.083984
NaN,8.154297
NaN,12.988281
NaN,26.513672
NaN,3.125
NaN,18.603516
NaN,18.75
NaN,1.855469
NaN,2.148438
NaN,15.478516
NaN,4.443359
NaN,0.683594
NaN,6.396484
NaN,9.472656
NaN,12.109375
NaN,32.275391
NaN,10.058594
NaN,17.138672
NaN,7.03125
NaN,3.125
NaN,6.298828
NaN,20.800781
NaN,4.443359
NaN,4.833984
NaN,3.808594
NaN,5.46875
NaN,16.064453
NaN,0.390625
NaN,5.859375
NaN,27.636719
NaN,9.082031
NaN,25.195313
NaN,12.841797
NaN,29.736328
NaN,19.726563
NaN,36.572266
NaN,19.042969
NaN,13.427734
NaN,39.013672
NaN,21.582031
NaN,8.984375
NaN,15.722656
NaN,7.080078
NaN,8.544922
NaN,1.855469
NaN,12.158203
NaN,15.478516
NaN,11.132813
NaN,6.982422
NaN,17.382813
NaN,15.185547
NaN,33.496094
NaN,5.078125
NaN,5.566406
NaN,19.335938
NaN,9.912109
NaN,4.394531
NaN,14.208984
NaN,3.369141
NaN,0.488281
NaN,8.105469
NaN,11.669922
NaN,12.402344
NaN,0.732422
NaN,9.472656
NaN,12.353516
NaN,21.923828
NaN,26.953125
NaN,17.626953
NaN,6.542969
NaN,10.302734
NaN,2.148438
NaN,0.537109
NaN,7.128906
NaN,1.611328
NaN,1.5625
NaN,4.589844
NaN,7.177734
NaN,13.867188
NaN,10.839844
NaN,12.060547
NaN,19.921875
NaN,11.230469
NaN,16.503906
NaN,12.744141
NaN,5.224609
NaN,12.353516
NaN,0.585938
NaN,5.126953
NaN,8.056641
NaN,1.806641
NaN,13.671875
NaN,8.935547
NaN,10.107422
NaN,9.765625
NaN,9.326172
NaN,1.025391
NaN,3.125
NaN,5.810547
NaN,12.744141
NaN,2.978516
NaN,6.103516
NaN,2.197266
NaN,9.326172
NaN,4.394531
NaN,16.992188
NaN,6.542969
NaN,2.587891
NaN,3.222656
NaN,10.449219
NaN,6.25
NaN,9.277344
NaN,7.861328
NaN,1.660156
NaN,8.59375
NaN,10.449219
NaN,3.662109
NaN,9.716797
NaN,21.728516
NaN,0.244141
NaN,3.173828
NaN,7.275391
NaN,11.181641
NaN,5.664063
NaN,17.1875
NaN,1.5625
NaN,8.447266
NaN,24.121094
NaN,14.648438
NaN,8.740234
NaN,22.314453
NaN,34.375
NaN,42.236328
NaN,21.875
NaN,4.638672
NaN,70.898438
NaN,13.964844
NaN,37.548828
NaN,25.78125
NaN,22.558594
NaN,44.287109
NaN,21.044922
NaN,41.992188
NaN,10.9375
NaN,3.613281
NaN,59.179688
NaN,46.777344
NaN,26.611328
NaN,1.513672
NaN,15.625
NaN,17.138672
NaN,11.71875
NaN,11.230469
NaN,0.097656
NaN,7.373047
NaN,12.353516
NaN,3.564453
NaN,4.6875
NaN,10.644531
NaN,8.496094
NaN,1.5625
NaN,7.519531
NaN,1.171875
NaN,22.314453
NaN,25.244141
NaN,5.664063
NaN,27.929688
NaN,23.828125
NaN,38.867188
NaN,31.298828
NaN,18.603516
NaN,25.537109
NaN,44.726563
NaN,3.173828
NaN,6.152344
NaN,12.353516
NaN,7.861328
NaN,3.417969
NaN,5.859375
NaN,3.564453
NaN,32.617188
NaN,58.349609
NaN,11.962891
NaN,52.929688
NaN,19.433594
NaN,59.033203
NaN,33.496094
NaN,73.242188
NaN,61.914063
NaN,59.179688
NaN,45.117188
NaN,34.716797
NaN,63.28125
NaN,76.123047
NaN,6.152344
NaN,5.46875
NaN,3.466797
NaN,1.904297
NaN,51.611328
NaN,65.429688
NaN,88.574219
NaN,57.03125
NaN,8.300781
NaN,32.910156
NaN,7.470703
NaN,51.171875
NaN,45.410156
NaN,31.884766
NaN,2.832031
NaN,2.246094
NaN,1.757813
NaN,11.230469
NaN,3.271484
NaN,5.517578
NaN,8.251953
NaN,0.292969
NaN,1.5625
NaN,4.980469
NaN,6.396484
NaN,6.591797
NaN,5.029297
NaN,0.146484
NaN,12.158203
NaN,2.490234
NaN,10.205078
NaN,20.117188
NaN,12.451172
NaN,23.681641
NaN,8.935547
NaN,23.730469
NaN,7.080078
NaN,22.119141
NaN,2.34375
NaN,6.25
NaN,21.142578
NaN,7.177734
NaN,1.513672
NaN,11.572266
NaN,50.488281
NaN,16.796875
NaN,13.720703
NaN,14.892578
NaN,4.345703
NaN,43.75
NaN,34.179688
NaN,74.316406
NaN,44.824219
NaN,0.390625
NaN,5.810547
NaN,10.449219
NaN,15.527344
NaN,57.8125
NaN,12.402344
NaN,4.443359
NaN,39.0625
NaN,37.207031
NaN,5.224609
NaN,14.404297
NaN,20.361328
NaN,13.671875
NaN,28.271484
NaN,26.171875
NaN,11.669922
NaN,10.595703
NaN,25.78125
NaN,10.498047
NaN,0.488281
NaN,3.808594
NaN,4.931641
NaN,14.355469
NaN,12.255859
NaN,4.394531
NaN,19.628906
NaN,23.828125
NaN,23.535156
NaN,54.443359
NaN,29.101563
NaN,22.363281
NaN,8.203125
NaN,40.625
NaN,4.6875
NaN,44.140625
NaN,14.257813
NaN,59.814453
NaN,7.617188
NaN,62.207031
NaN,74.511719
NaN,20.458984
NaN,18.554688
NaN,18.603516
NaN,0.146484
NaN,14.746094
NaN,7.617188
NaN,12.402344
NaN,11.181641
NaN,30.859375
NaN,12.011719
NaN,7.666016
NaN,45.800781
NaN,18.75
NaN,48.486328
NaN,13.134766
NaN,55.126953
NaN,1.5625
NaN,0.976563
NaN,5.517578
NaN,18.945313
NaN,15.917969
NaN,18.261719
NaN,15.722656
NaN,0.292969
NaN,13.867188
NaN,24.267578
NaN,24.560547
NaN,36.669922
NaN,99.804688
NaN,33.056641
NaN,47.949219
NaN,50.976563
NaN,93.115234
NaN,99.951172
NaN,45.361328
NaN,21.533203
NaN,24.707031
NaN,100
NaN,71.484375
NaN,69.091797
NaN,16.748047
NaN,99.658203
NaN,47.949219
NaN,50
NaN,11.669922
NaN,90.966797
NaN,34.912109
NaN,26.220703
NaN,8.740234
NaN,9.667969
NaN,35.253906
NaN,1.074219
NaN,16.455078
NaN,2.34375
NaN,24.023438
NaN,6.689453
NaN,17.333984
